,Indice,Ano,Novela,Média,Emissora,Horário,ID_novel
2018,33,2018,Coração  Indomável,78,SBT ,NOVELAS DA TARDE,coracaoindomavel2018
2019,34,2018,Que Pobres  tão Ricos,58,SBT ,NOVELAS DA TARDE,quepobrestaoricos2018
2020,35,2018,Teresa,59,SBT ,NOVELAS DA TARDE,teresa2018
2021,36,2019,A Que Não  Podia Amar,68,SBT ,NOVELAS DA TARDE,aquenaopodiaamar2019
2022,37,2019,Meu Coração  é Teu,65,SBT ,NOVELAS DA TARDE,meucoracaoeteu2019
2023,38,2020,O Que a  Vida me Roubou,63,SBT ,NOVELAS DA TARDE,oqueavidameroubou2020
2024,39,2020,Triunfo do  Amor,63,SBT ,NOVELAS DA TARDE,triunfodoamor2020
2025,40,2021,Coração  Indomável,71,SBT ,NOVELAS DA TARDE,coracaoindomavel2021
2026,41,2021,Amanhã é  para Sempre,55,SBT ,NOVELAS DA TARDE,amanhaeparasempre2021
2027,42,2022,A Desalmada,57,SBT ,NOVELAS DA TARDE,adesalmada2022
2028,43,2022,Vencer o  Desamor,47,SBT ,NOVELAS DA TARDE,vencerodesamor2022
2029,44,2023,Três Vezes  Ana,-,SBT ,NOVELAS DA TARDE,tresvezesana2023
2030,45,,,,SBT ,NOVELAS DA TARDE,
2031,46,,,,SBT ,NOVELAS DA TARDE,
2032,47,FAIXA  CANCELADA,FAIXA  CANCELADA,,SBT ,NOVELAS DA TARDE,faixacanceladaFAIXA  CANCELADA
2033,48,,,,SBT ,NOVELAS DA TARDE,
2035,50,2010,As Tontas  Não Vão ao Céu,44,SBT ,NOVELAS DA TARDE,astontasnaovaoaoceu2010
2036,51,2010,Camaleões,44,SBT ,NOVELAS DA TARDE,camaleoes2010
2037,52,2011,Uma Rosa  com Amor,49,SBT ,NOVELAS DA TARDE,umarosacomamor2011
2038,53,2011,Marimar,73,SBT ,NOVELAS DA TARDE,marimar2011
2039,54,2012,Maria do  Bairro,67,SBT ,NOVELAS DA TARDE,mariadobairro2012
2040,55,2012,Maria  Mercedes,53,SBT ,NOVELAS DA TARDE,mariamercedes2012
2041,56,2012,A  Usurpadora,60,SBT ,NOVELAS DA TARDE,ausurpadora2012
2042,57,2013,Rubi,67,SBT ,NOVELAS DA TARDE,rubi2013
2043,58,2013,A Madrasta,46,SBT ,NOVELAS DA TARDE,amadrasta2013
2044,59,2014,Abraça-me  Muito Forte,39,SBT ,NOVELAS DA TARDE,abracamemuitoforte2014
2045,60,,,,SBT ,NOVELAS DA TARDE,
2046,61,,,,SBT ,NOVELAS DA TARDE,
2047,62,FAIXA  CANCELADA,FAIXA  CANCELADA,,SBT ,NOVELAS DA TARDE,faixacanceladaFAIXA  CANCELADA
2048,63,,,,SBT ,NOVELAS DA TARDE,
2050,65,2013,Carrossel,59,SBT ,NOVELAS DA TARDE,carrossel2013
2051,66,2015,Patrulha  Salvadora,58,SBT ,NOVELAS DA TARDE,patrulhasalvadora2015
2052,67,,,,SBT ,NOVELAS DA TARDE,
2053,68,,,,SBT ,NOVELAS DA TARDE,
2054,69,FAIXA  CANCELADA,FAIXA  CANCELADA,,SBT ,NOVELAS DA TARDE,faixacanceladaFAIXA  CANCELADA
2055,70,,,,SBT ,NOVELAS DA TARDE,
2057,72,2010,Esmeralda,57,SBT ,NOVELAS DA TARDE,esmeralda2010
2058,73,2011,Maria  Esperança,50,SBT ,NOVELAS DA TARDE,mariaesperanca2011
2059,74,2011,Cristal,50,SBT ,NOVELAS DA TARDE,cristal2011
2060,75,2011,Fascinação,47,SBT ,NOVELAS DA TARDE,fascinacao2011
2061,76,2012,Marisol,50,SBT ,NOVELAS DA TARDE,marisol2012
2062,77,2012,Canavial de  Paixões,43,SBT ,NOVELAS DA TARDE,canavialdepaixoes2012
2063,78,2013,Jamais te  Esquecerei,34,SBT ,NOVELAS DA TARDE,jamaisteesquecerei2013
2064,79,2013,Cuidado com  o Anjo,62,SBT ,NOVELAS DA TARDE,cuidadocomoanjo2013
2065,80,2013,Por Ela Sou  Eva,40,SBT ,NOVELAS DA TARDE,porelasoueva2013
2066,81,2014,Meu Pecado,47,SBT ,NOVELAS DA TARDE,meupecado2014
2067,82,2014,Sortilégio,64,SBT ,NOVELAS DA TARDE,sortilegio2014
2068,83,2015,Coração  Indomável,79,SBT ,NOVELAS DA TARDE,coracaoindomavel2015
2069,84,2015,Teresa,74,SBT ,NOVELAS DA TARDE,teresa2015
2070,85,2016,Abismo de  Paixão,85,SBT ,NOVELAS DA TARDE,abismodepaixao2016
2071,86,2016,Lágrimas de  Amor,67,SBT ,NOVELAS DA TARDE,lagrimasdeamor2016
2072,87,,,,SBT ,NOVELAS DA TARDE,
2073,88,,,,SBT ,NOVELAS DA TARDE,
2074,89,FAIXA  CANCELADA,FAIXA  CANCELADA,,SBT ,NOVELAS DA TARDE,faixacanceladaFAIXA  CANCELADA
2075,90,,,,SBT ,NOVELAS DA TARDE,
2077,92,2010,Pérola  Negra,53,SBT ,NOVELAS DA TARDE,perolanegra2010
2078,93,2011,Amigas  & Rivais,50,SBT ,NOVELAS DA TARDE,amigaserivais2011
2079,94,2012,Pícara  Sonhadora,39,SBT ,NOVELAS DA TARDE,picarasonhadora2012
2080,95,2012,Pequena  Travessa,43,SBT ,NOVELAS DA TARDE,pequenatravessa2012
2081,96,2012,Gotinha de  Amor,47,SBT ,NOVELAS DA TARDE,gotinhadeamor2012
2082,97,2013,Rosalinda,45,SBT ,NOVELAS DA TARDE,rosalinda2013
2083,98,2013,Marimar,53,SBT ,NOVELAS DA TARDE,marimar2013
2084,99,2013,Maria do  Bairro,48,SBT ,NOVELAS DA TARDE,mariadobairro2013
2085,100,2014,Café com  Aroma de Mulher,46,SBT ,NOVELAS DA TARDE,cafecomaromademulher2014
2086,101,2014,Esmeralda,66,SBT ,NOVELAS DA TARDE,esmeralda2014
2087,102,2015,Maria  Esperança,68,SBT ,NOVELAS DA TARDE,mariaesperanca2015
2088,103,2015,Pérola  Negra,58,SBT ,NOVELAS DA TARDE,perolanegra2015
2089,104,2015,Cuidado com  o Anjo,70,SBT ,NOVELAS DA TARDE,cuidadocomoanjo2015
2090,105,2016,Mar de Amor,75,SBT ,NOVELAS DA TARDE,mardeamor2016
2091,106,2016,Querida  Inimiga,58,SBT ,NOVELAS DA TARDE,queridainimiga2016
2092,107,,,,SBT ,NOVELAS DA TARDE,
2093,108,,,,SBT ,NOVELAS DA TARDE,
2094,109,FAIXA  CANCELADA,FAIXA  CANCELADA,,SBT ,NOVELAS DA TARDE,faixacanceladaFAIXA  CANCELADA
2095,110,,,,SBT ,NOVELAS DA TARDE,
2097,112,2013,O  Privilégio de Amar,47,SBT ,NOVELAS DA TARDE,oprivilegiodeamar2013
2098,113,2014,Por Teu  Amor,39,SBT ,NOVELAS DA TARDE,porteuamor2014
2099,114,2014,A Feia Mais  Bela,53,SBT ,NOVELAS DA TARDE,afeiamaisbela2014
2100,115,2015,A  Usurpadora,71,SBT ,NOVELAS DA TARDE,ausurpadora2015
2101,116,2015,A Dona,72,SBT ,NOVELAS DA TARDE,adona2015
2102,117,2016,Meu Coração  é Teu,78,SBT ,NOVELAS DA TARDE,meucoracaoeteu2016
2103,118,2016,A Gata,82,SBT ,NOVELAS DA TARDE,agata2016
2104,119,2017,O Que a  Vida me Roubou,67,SBT ,NOVELAS DA TARDE,oqueavidameroubou2017
2105,120,2017,Um Caminho  para o Destino,69,SBT ,NOVELAS DA TARDE,umcaminhoparaodestino2017
2106,121,2018,Amanhã é  para Sempre,73,SBT ,NOVELAS DA TARDE,amanhaeparasempre2018
2107,122,2018,Carrossel,64,SBT ,NOVELAS DA TARDE,carrossel2018
2108,123,2019,A Dona,71,SBT ,NOVELAS DA TARDE,adona2019
2109,124,2019,Abismo de  Paixão,65,SBT ,NOVELAS DA TARDE,abismodepaixao2019
2110,125,2020,"Betty, a  Feia em Nova York",62,SBT ,NOVELAS DA TARDE,bettyafeiaemnovayork2020
2111,126,2020,Quando me  Apaixono,68,SBT ,NOVELAS DA TARDE,quandomeapaixono2020
2112,127,2021,Amores  Verdadeiros,74,SBT ,NOVELAS DA TARDE,amoresverdadeiros2021
2113,128,2021,Te Dou a  Vida,67,SBT ,NOVELAS DA TARDE,tedouavida2021
2114,129,2022,Se nos  Deixam,55,SBT ,NOVELAS DA TARDE,senosdeixam2022
2115,130,,,,SBT ,NOVELAS DA TARDE,
2116,131,,,,SBT ,NOVELAS DA TARDE,
2117,132,FAIXA  CANCELADA,FAIXA  CANCELADA,,SBT ,NOVELAS DA TARDE,faixacanceladaFAIXA  CANCELADA
2118,133,,,,SBT ,NOVELAS DA TARDE,
2120,135,2022,Paixões de  Gavilanes,20,SBT ,NOVELAS DA TARDE,paixoesdegavilanes2022
2122,1,1982,Destino,117,SBT ,REAPRESENTAÇÕES,destino1982
2123,2,1982,Os Ricos  Também Choram,121,SBT ,REAPRESENTAÇÕES,osricostambemchoram1982
2124,3,1982,A Força do  Amor,129,SBT ,REAPRESENTAÇÕES,aforcadoamor1982
2125,4,1982,A Leoa,144,SBT ,REAPRESENTAÇÕES,aleoa1982
2126,5,1982,Conflito,122,SBT ,REAPRESENTAÇÕES,conflito1982
2127,6,1983,Sombras do  Passado,126,SBT ,REAPRESENTAÇÕES,sombrasdopassado1983
2128,7,1983,O Direito  de Nascer,99,SBT ,REAPRESENTAÇÕES,odireitodenascer1983
2129,8,1983,Vida  Roubada,79,SBT ,REAPRESENTAÇÕES,vidaroubada1983
2130,9,1984,Chispita,137,SBT ,REAPRESENTAÇÕES,chispita1984
2131,10,1984,"Meus  Filhos, Minha Vida",93,SBT ,REAPRESENTAÇÕES,meusfilhosminhavida1984
2132,11,,,,SBT ,REAPRESENTAÇÕES,
2134,13,1994,Éramos Seis,125,SBT ,REAPRESENTAÇÕES,eramosseis1994
2135,14,1994,As Pupilas  do Senhor Reitor,93,SBT ,REAPRESENTAÇÕES,aspupilasdosenhorreitor1994
2136,15,1995,Sangue do  meu Sangue,75,SBT ,REAPRESENTAÇÕES,sanguedomeusangue1995
2137,16,1996,"Antônio  Alves, Taxista",80,SBT ,REAPRESENTAÇÕES,antonioalvestaxista1996
2138,17,1996,Dona Anja,65,SBT ,REAPRESENTAÇÕES,donaanja1996
2139,0,Ano,Série,Média,SBT ,SÉRIES,serieAno
2140,1,2014,Patrulha  Salvadora: 1ª Temporada,56,SBT ,SÉRIES,patrulhasalvadora1atemporada2014
2141,2,2014,Patrulha  Salvadora: 2ª Temporada,62,SBT ,SÉRIES,patrulhasalvadora2atemporada2014
2142,3,2014,Patrulha  Salvadora: 3ª Temporada,55,SBT ,SÉRIES,patrulhasalvadora3atemporada2014
2143,4,2014,Patrulha  Salvadora: 4ª Temporada,55,SBT ,SÉRIES,patrulhasalvadora4atemporada2014
2144,5,2016,A Garota da  Moto: 1ª Temporada,112,SBT ,SÉRIES,agarotadamoto1atemporada2016
2145,6,2018,Z4: 1ª  Temporada,106,SBT ,SÉRIES,z41atemporada2018
2146,7,2019,A Garota da  Moto: 2ª Temporada,98,SBT ,SÉRIES,agarotadamoto2atemporada2019
2147,8,,,,SBT ,SÉRIES,
2148,9,,,,SBT ,SÉRIES,
2149,10,ESTRANGEIRAS,ESTRANGEIRAS,,SBT ,SÉRIES,estrangeirasESTRANGEIRAS
2150,11,,,,SBT ,SÉRIES,
2151,12,Ano,Série,Média,SBT ,SÉRIES,serieAno
2152,13,2019,A Rosa dos  Milagres,54,SBT ,SÉRIES,arosadosmilagres2019
2153,14,2019,Milagres de  Nossa Senhora,64,SBT ,SÉRIES,milagresdenossasenhora2019
2154,15,2021,A  Usurpadora,44,SBT ,SÉRIES,ausurpadora2021
2155,16,2022,Os Pequenos  Johnstons,29,SBT ,SÉRIES,ospequenosjohnstons2022
2156,17,2022,Decisões do  Dia,27,SBT ,SÉRIES,decisoesdodia2022
2157,18,2023,Jack Ryan:  1ª Temporada,-,SBT ,SÉRIES,jackryan1atemporada2023
2158,0,Ano,Minissérie,Média,SBT ,MINISSÉRIES,minisserieAno
2159,1,2015,Hatfields  & McCoys,57,SBT ,MINISSÉRIES,hatfieldsemccoys2015
2160,0,Ano,Reality,Média,SBT ,REALITY SHOW,realityAno
2161,1,2001,Casa dos  Artistas 1,262,SBT ,REALITY SHOW,casadosartistas12001
2162,2,2002,Casa dos  Artistas 2,199,SBT ,REALITY SHOW,casadosartistas22002
2163,3,2002,Casa dos  Artistas 3,195,SBT ,REALITY SHOW,casadosartistas32002
2164,4,2003,O  Conquistador do Fim do Mundo,67,SBT ,REALITY SHOW,oconquistadordofimdomundo2003
2165,5,2004,Casa dos  Artistas 4,72,SBT ,REALITY SHOW,casadosartistas42004
2166,6,,,,SBT ,REALITY SHOW,
2167,7,Ano,Reality,Média,SBT ,REALITY SHOW,realityAno
2168,8,2014,Esse  Artista Sou Eu: T1,61,SBT ,REALITY SHOW,esseartistasoueut12014
2169,9,2014,Cozinha Sob  Pressão: T1,48,SBT ,REALITY SHOW,cozinhasobpressaot12014
2170,10,2015,Cozinha Sob  Pressão: T2,62,SBT ,REALITY SHOW,cozinhasobpressaot22015
2171,11,2015,Bake Off  Brasil: T1,69,SBT ,REALITY SHOW,bakeoffbrasilt12015
2172,12,2015,Hell’s  Kitchen: T3,61,SBT ,REALITY SHOW,hell'skitchent32015
2173,13,2016,BBQ Brasil:  T1,60,SBT ,REALITY SHOW,bbqbrasilt12016
2174,14,2016,Bake Off  Brasil: T2,85,SBT ,REALITY SHOW,bakeoffbrasilt22016
2175,15,2016,Hell’s  Kitchen: T4,71,SBT ,REALITY SHOW,hell'skitchent42016
2176,16,2016,Duelo de  Mães: T1,44,SBT ,REALITY SHOW,duelodemaest12016
2177,17,2017,Duelo de  Mães: T2,47,SBT ,REALITY SHOW,duelodemaest22017
2178,18,2017,Fábrica de  Casamentos: T1,65,SBT ,REALITY SHOW,fabricadecasamentost12017
2179,19,2017,BBQ Brasil:  T2,52,SBT ,REALITY SHOW,bbqbrasilt22017
2180,20,2017,Bake Off  Brasil: T3,82,SBT ,REALITY SHOW,bakeoffbrasilt32017
2181,21,2018,Júnior Bake  Off Brasil: T1,73,SBT ,REALITY SHOW,juniorbakeoffbrasilt12018
2182,22,2018,Fábrica de  Casamentos: T2,87,SBT ,REALITY SHOW,fabricadecasamentost22018
2183,23,2018,Bake Off  Brasil: T4,103,SBT ,REALITY SHOW,bakeoffbrasilt42018
2184,24,2018,BBQ Brasil:  T3,53,SBT ,REALITY SHOW,bbqbrasilt32018
2185,25,2019,Júnior Bake  Off Brasil: T2,93,SBT ,REALITY SHOW,juniorbakeoffbrasilt22019
2186,26,2019,Fábrica de  Casamentos: T3,87,SBT ,REALITY SHOW,fabricadecasamentost32019
2187,27,2019,Bake Off  Brasil: T5,89,SBT ,REALITY SHOW,bakeoffbrasilt52019
2188,28,,,,SBT ,REALITY SHOW,
2189,29,Ano,Reality,Média,SBT ,REALITY SHOW,realityAno
2190,30,2020,Júnior Bake  Off Brasil: T3,76,SBT ,REALITY SHOW,juniorbakeoffbrasilt32020
2191,31,2020,Fábrica de  Casamentos: T4,59,SBT ,REALITY SHOW,fabricadecasamentost42020
2192,32,2020,Bake Off  Brasil: T6,62,SBT ,REALITY SHOW,bakeoffbrasilt62020
2193,33,2021,Bake Off  Celebridades: T1,58,SBT ,REALITY SHOW,bakeoffcelebridadest12021
2194,34,2021,Mestres da  Sabotagem: T1,45,SBT ,REALITY SHOW,mestresdasabotagemt12021
2195,35,2021,Te Devo  Essa! Brasil: T1,41,SBT ,REALITY SHOW,tedevoessabrasilt12021
2196,36,2021,Bake Off  Brasil: T7,52,SBT ,REALITY SHOW,bakeoffbrasilt72021
2197,37,2022,Mestres da  Sabotagem: T2,42,SBT ,REALITY SHOW,mestresdasabotagemt22022
2198,38,2022,Bake Off  Celebridades: T2,44,SBT ,REALITY SHOW,bakeoffcelebridadest22022
2199,39,2022,Cozinhe se  Puder: T3,36,SBT ,REALITY SHOW,cozinhesepudert32022
2200,40,2022,Bake Off  Brasil: T8,49,SBT ,REALITY SHOW,bakeoffbrasilt82022
2202,1,1967,Os  Miseráveis,48,BAND ,NOVELAS NACIONAIS,osmiseraveis1967
2203,2,1967,A  Moça do Sobrado Grande,42,BAND ,NOVELAS NACIONAIS,amocadosobradogrande1967
2204,3,1968,Ricardinho,76,BAND ,NOVELAS NACIONAIS,ricardinho1968
2205,4,1969,Era Preciso Voltar,25,BAND ,NOVELAS NACIONAIS,eraprecisovoltar1969
2206,5,1969,O Bolha,16,BAND ,NOVELAS NACIONAIS,obolha1969
2207,6,,,,BAND ,NOVELAS NACIONAIS,
2209,8,1970,As Asas São para Voar,20,BAND ,NOVELAS NACIONAIS,asasassaoparavoar1970
2210,9,1979,Cara a Cara,80,BAND ,NOVELAS NACIONAIS,caraacara1979
2211,10,1979,O  Todo-Poderoso,85,BAND ,NOVELAS NACIONAIS,otodopoderoso1979
2212,11,,,,BAND ,NOVELAS NACIONAIS,
2214,13,1980,Pé  de Vento,-,BAND ,NOVELAS NACIONAIS,pedevento1980
2215,14,1980,A  Deusa Vencida,-,BAND ,NOVELAS NACIONAIS,adeusavencida1980
2216,15,1980,Cavalo  Amarelo,-,BAND ,NOVELAS NACIONAIS,cavaloamarelo1980
2217,16,1980,Um  Homem Muito Especial,33,BAND ,NOVELAS NACIONAIS,umhomemmuitoespecial1980
2218,17,1980,O Meu Pé de Laranja Lima,114,BAND ,NOVELAS NACIONAIS,omeupedelaranjalima1980
2219,18,1980,Dulcinéa vai à Guerra,51,BAND ,NOVELAS NACIONAIS,dulcineavaiaguerra1980
2220,19,1981,Rosa Baiana,79,BAND ,NOVELAS NACIONAIS,rosabaiana1981
2221,20,1981,Os Imigrantes,104,BAND ,NOVELAS NACIONAIS,osimigrantes1981
2222,21,1981,Os Adolescentes,46,BAND ,NOVELAS NACIONAIS,osadolescentes1981
2223,22,1982,Ninho da Serpente,57,BAND ,NOVELAS NACIONAIS,ninhodaserpente1982
2224,23,1982,A Filha do Silêncio,31,BAND ,NOVELAS NACIONAIS,afilhadosilencio1982
2225,24,1982,Renúncia,49,BAND ,NOVELAS NACIONAIS,renuncia1982
2226,25,1982,Campeão,37,BAND ,NOVELAS NACIONAIS,campeao1982
2227,26,1983,Sabor de Mel,33,BAND ,NOVELAS NACIONAIS,sabordemel1983
2228,27,1983,Braço de Ferro,24,BAND ,NOVELAS NACIONAIS,bracodeferro1983
2229,28,1983,Maçã do Amor,30,BAND ,NOVELAS NACIONAIS,macadoamor1983
2230,29,,,,BAND ,NOVELAS NACIONAIS,
2232,31,1995,A Idade da Loba,27,BAND ,NOVELAS NACIONAIS,aidadedaloba1995
2233,32,1996,O Campeão,16,BAND ,NOVELAS NACIONAIS,ocampeao1996
2234,33,1996,Perdidos de Amor,19,BAND ,NOVELAS NACIONAIS,perdidosdeamor1996
2235,34,1998,Serras Azuis,14,BAND ,NOVELAS NACIONAIS,serrasazuis1998
2236,35,1998,Meu Pé de Laranja Lima,12,BAND ,NOVELAS NACIONAIS,meupedelaranjalima1998
2237,36,,,,BAND ,NOVELAS NACIONAIS,
2239,38,2005,Floribella: 1ª Temporada,38,BAND ,NOVELAS NACIONAIS,floribella1atemporada2005
2240,39,2006,Floribella: 2ª Temporada,30,BAND ,NOVELAS NACIONAIS,floribella2atemporada2006
2241,40,2006,Paixões Proibidas,17,BAND ,NOVELAS NACIONAIS,paixoesproibidas2006
2242,41,2007,Dance Dance Dance,30,BAND ,NOVELAS NACIONAIS,dancedancedance2007
2243,42,2008,Água na Boca,20,BAND ,NOVELAS NACIONAIS,aguanaboca2008
2245,1,1980,Cara a Cara,31,BAND ,REPRISES,caraacara1980
2246,2,1981,Pé de Vento,13,BAND ,REPRISES,pedevento1981
2247,3,1981,A Deusa Vencida,28,BAND ,REPRISES,adeusavencida1981
2248,4,1982,O Meu Pé de Laranja Lima,16,BAND ,REPRISES,omeupedelaranjalima1982
2249,5,1983,Os Imigrantes,27,BAND ,REPRISES,osimigrantes1983
2250,6,1983,Cara a Cara,08,BAND ,REPRISES,caraacara1983
2251,7,1984,Braço de Ferro,08,BAND ,REPRISES,bracodeferro1984
2252,8,1989,Cavalo Amarelo,08,BAND ,REPRISES,cavaloamarelo1989
2253,9,1989,O Meu Pé de Laranja Lima,23,BAND ,REPRISES,omeupedelaranjalima1989
2254,10,1989,Um Homem Muito Especial,12,BAND ,REPRISES,umhomemmuitoespecial1989
2255,11,1989,Sabor de Mel,10,BAND ,REPRISES,sabordemel1989
2256,12,1989,A Deusa Vencida,17,BAND ,REPRISES,adeusavencida1989
2257,13,,,,BAND ,REPRISES,
2259,15,1990,Os Imigrantes,17,BAND ,REPRISES,osimigrantes1990
2260,16,1991,Ninho da Serpente,22,BAND ,REPRISES,ninhodaserpente1991
2261,17,1991,Campeão,17,BAND ,REPRISES,campeao1991
2262,18,1995,Os Imigrantes,21,BAND ,REPRISES,osimigrantes1995
2263,19,1996,Cavalo Amarelo,12,BAND ,REPRISES,cavaloamarelo1996
2264,20,1996,O Meu Pé de Laranja Lima,25,BAND ,REPRISES,omeupedelaranjalima1996
2265,21,,,,BAND ,REPRISES,
2267,23,2006,Mandacaru,45,BAND ,REPRISES,mandacaru2006
2268,24,2007,Floribella: 1ª Temporada,10,BAND ,REPRISES,floribella1atemporada2007
2269,25,2017,Mil e uma Noites,21,BAND ,REPRISES,mileumanoites2017
2270,26,2020,Floribella,17,BAND ,REPRISES,floribella2020
2271,27,,,,BAND ,REPRISES,
2272,28,,,,BAND ,REPRISES,
2273,29,MINISSÉRIES  REPRISADAS,MINISSÉRIES  REPRISADAS,,BAND ,REPRISES,minisseriesreprisadasMINISSÉRIES  REPRISADAS
2274,30,,,,BAND ,REPRISES,
2275,31,Ano,Minissérie,Média,BAND ,REPRISES,minisserieAno
2276,32,1991,Colônia Cecília,04,BAND ,REPRISES,coloniacecilia1991
2277,33,1991,O Cometa,04,BAND ,REPRISES,ocometa1991
2278,34,1991,Chapadão do Bugre,08,BAND ,REPRISES,chapadaodobugre1991
2279,35,1996,O Cometa,18,BAND ,REPRISES,ocometa1996
2280,36,1996,Chapadão do Bugre,11,BAND ,REPRISES,chapadaodobugre1996
2282,1,1997,Maria  Celeste,18,BAND ,NOVELAS ESTRANGEIRAS,mariaceleste1997
2283,2,1997,Traição,11,BAND ,NOVELAS ESTRANGEIRAS,traicao1997
2284,3,1998,Caminhos do  Amor,15,BAND ,NOVELAS ESTRANGEIRAS,caminhosdoamor1998
2285,4,1999,Sobras do  Passado,10,BAND ,NOVELAS ESTRANGEIRAS,sobrasdopassado1999
2286,5,1999,Belas e  Intrépidas,06,BAND ,NOVELAS ESTRANGEIRAS,belaseintrepidas1999
2287,6,,,,BAND ,NOVELAS ESTRANGEIRAS,
2289,8,2004,Olhos D’Água,08,BAND ,NOVELAS ESTRANGEIRAS,olhosd'agua2004
2290,9,2004,Morangos  com Açúcar,17,BAND ,NOVELAS ESTRANGEIRAS,morangoscomacucar2004
2291,10,2009,Isa TKM,32,BAND ,NOVELAS ESTRANGEIRAS,isatkm2009
2292,11,,,,BAND ,NOVELAS ESTRANGEIRAS,
2294,13,2010,Quase  Anjos: 1ª Temporada,23,BAND ,NOVELAS ESTRANGEIRAS,quaseanjos1atemporada2010
2295,14,2011,Quase  Anjos: 2ª Temporada,15,BAND ,NOVELAS ESTRANGEIRAS,quaseanjos2atemporada2011
2296,15,2013,Violetta,15,BAND ,NOVELAS ESTRANGEIRAS,violetta2013
2297,16,2014,Rosario  Tijeras,11,BAND ,NOVELAS ESTRANGEIRAS,rosariotijeras2014
2298,17,2015,Mil e uma  Noites,30,BAND ,NOVELAS ESTRANGEIRAS,mileumanoites2015
2299,18,2015,Fatmagül: A  Força do Amor,31,BAND ,NOVELAS ESTRANGEIRAS,fatmagulaforcadoamor2015
2300,19,2016,Sila:  Prisioneira do Amor,30,BAND ,NOVELAS ESTRANGEIRAS,silaprisioneiradoamor2016
2301,20,2016,Ezel,22,BAND ,NOVELAS ESTRANGEIRAS,ezel2016
2302,21,2017,Amor  Proibido,21,BAND ,NOVELAS ESTRANGEIRAS,amorproibido2017
2303,22,2018,Asas do  Amor,14,BAND ,NOVELAS ESTRANGEIRAS,asasdoamor2018
2304,23,2018,Minha Vida,18,BAND ,NOVELAS ESTRANGEIRAS,minhavida2018
2305,24,2019,Ouro Verde,21,BAND ,NOVELAS ESTRANGEIRAS,ouroverde2019
2306,25,,,,BAND ,NOVELAS ESTRANGEIRAS,
2308,27,2021,Nazaré,16,BAND ,NOVELAS ESTRANGEIRAS,nazare2021
2309,28,2022,Valor da  Vida,-,BAND ,NOVELAS ESTRANGEIRAS,valordavida2022
2311,1,1996,O Meu Pé de Laranja Lima,16,BAND ,REAPRESENTAÇÕES,omeupedelaranjalima1996
2312,2,1996,O Cometa,11,BAND ,REAPRESENTAÇÕES,ocometa1996
2313,0,Ano,Série,Média,BAND ,SÉRIES,serieAno
2314,1,2017,Era Uma Vez  uma História,16,BAND ,SÉRIES,eraumavezumahistoria2017
2315,2,,,,BAND ,SÉRIES,
2316,3,,,,BAND ,SÉRIES,
2317,4,ESTRANGEIRAS,ESTRANGEIRAS,,BAND ,SÉRIES,estrangeirasESTRANGEIRAS
2318,5,,,,BAND ,SÉRIES,
2319,6,Ano,Série,Média,BAND ,SÉRIES,serieAno
2320,7,2013,The Walking  Dead,39,BAND ,SÉRIES,thewalkingdead2013
2321,8,2013,The Walking  Dead: 1ª Temp.,48,BAND ,SÉRIES,thewalkingdead1atemp2013
2322,9,2013,The Walking  Dead: 2ª Temp.,41,BAND ,SÉRIES,thewalkingdead2atemp2013
2323,10,2013,The Walking  Dead: 3ª Temp.,38,BAND ,SÉRIES,thewalkingdead3atemp2013
2324,11,2014,American  Horror Story: 1ª Temp.,19,BAND ,SÉRIES,americanhorrorstory1atemp2014
2325,12,2014,The Walking  Dead: 3ª Temp.,27,BAND ,SÉRIES,thewalkingdead3atemp2014
2326,13,2022,Breaking  Bad: 1ª Temporada,13,BAND ,SÉRIES,breakingbad1atemporada2022
2327,14,2022,Breaking  Bad: 2ª Temporada,13,BAND ,SÉRIES,breakingbad2atemporada2022
2328,15,2023,Breaking  Bad: 3ª Temporada,-,BAND ,SÉRIES,breakingbad3atemporada2023
2329,0,Ano,Minissérie,Média,BAND ,MINISSÉRIES,minisserieAno
2330,1,1986,Marco Polo,10,BAND ,MINISSÉRIES,marcopolo1986
2331,2,1986,Carne de Sol,32,BAND ,MINISSÉRIES,carnedesol1986
2332,3,1988,Chapadão do Bugre,42,BAND ,MINISSÉRIES,chapadaodobugre1988
2333,4,1988,Joana,28,BAND ,MINISSÉRIES,joana1988
2334,5,1989,Colônia Cecília,34,BAND ,MINISSÉRIES,coloniacecilia1989
2335,6,1989,O Cometa,27,BAND ,MINISSÉRIES,ocometa1989
2336,7,1989,Capitães da Areia,14,BAND ,MINISSÉRIES,capitaesdaareia1989
2337,0,Ano,Reality,Média,BAND ,REALITY SHOW,realityAno
2338,1,2014,MasterChef: 1ª Temporada,45,BAND ,REALITY SHOW,masterchef1atemporada2014
2339,2,2015,MasterChef: 2ª Temporada,72,BAND ,REALITY SHOW,masterchef2atemporada2015
2340,3,2015,MasterChef Júnior,57,BAND ,REALITY SHOW,masterchefjunior2015
2341,4,2016,MasterChef: 3ª Temporada,60,BAND ,REALITY SHOW,masterchef3atemporada2016
2342,5,2016,X-Factor: 1ª Temporada,25,BAND ,REALITY SHOW,xfactor1atemporada2016
2343,6,2016,MasterChef Profissionais: 1ª  Temporada,68,BAND ,REALITY SHOW,masterchefprofissionais1atemporada2016
2344,7,2017,Pesadelo na Cozinha: 1ª  Temporada,40,BAND ,REALITY SHOW,pesadelonacozinha1atemporada2017
