,Indice,Ano,Novela,Média,Emissora,Horário,ID_novel
144,36,1987,Bambolê,350,GLOBO ,NOVELAS DAS 18H,bambole1987
145,37,1988,Fera  Radical,423,GLOBO ,NOVELAS DAS 18H,feraradical1988
146,38,1988,Vida Nova,361,GLOBO ,NOVELAS DAS 18H,vidanova1988
147,39,1989,Pacto de  Sangue,342,GLOBO ,NOVELAS DAS 18H,pactodesangue1989
148,40,1989,O Sexo dos  Anjos,385,GLOBO ,NOVELAS DAS 18H,osexodosanjos1989
149,41,,,,GLOBO ,NOVELAS DAS 18H,
151,43,1990,Gente Fina,348,GLOBO ,NOVELAS DAS 18H,gentefina1990
152,44,1990,Barriga de  Aluguel,367,GLOBO ,NOVELAS DAS 18H,barrigadealuguel1990
153,45,1991,Salomé,314,GLOBO ,NOVELAS DAS 18H,salome1991
154,46,1991,Felicidade,339,GLOBO ,NOVELAS DAS 18H,felicidade1991
155,47,1992,Despedida  de Solteiro,385,GLOBO ,NOVELAS DAS 18H,despedidadesolteiro1992
156,48,1993,Mulheres de  Areia,492,GLOBO ,NOVELAS DAS 18H,mulheresdeareia1993
157,49,1993,Sonho Meu,441,GLOBO ,NOVELAS DAS 18H,sonhomeu1993
158,50,1994,Tropicaliente,391,GLOBO ,NOVELAS DAS 18H,tropicaliente1994
159,51,1995,Irmãos  Coragem,325,GLOBO ,NOVELAS DAS 18H,irmaoscoragem1995
160,52,1995,História de  Amor,342,GLOBO ,NOVELAS DAS 18H,historiadeamor1995
161,53,1996,Quem é  Você?,314,GLOBO ,NOVELAS DAS 18H,quemevoce?1996
162,54,1996,Anjo de Mim,287,GLOBO ,NOVELAS DAS 18H,anjodemim1996
163,55,1997,O Amor Está  no Ar,271,GLOBO ,NOVELAS DAS 18H,oamorestanoar1997
164,56,1997,Anjo Mau,318,GLOBO ,NOVELAS DAS 18H,anjomau1997
165,57,1998,Era Uma  Vez...,296,GLOBO ,NOVELAS DAS 18H,eraumavez1998
