,0,1,2,Emissora,Horario
35,1987,Direito de  Amar,389,GLOBO ,NOVELAS DAS 18H
36,1987,Bambolê,350,GLOBO ,NOVELAS DAS 18H
37,1988,Fera  Radical,423,GLOBO ,NOVELAS DAS 18H
38,1988,Vida Nova,361,GLOBO ,NOVELAS DAS 18H
39,1989,Pacto de  Sangue,342,GLOBO ,NOVELAS DAS 18H
40,1989,O Sexo dos  Anjos,385,GLOBO ,NOVELAS DAS 18H
41,,,,GLOBO ,NOVELAS DAS 18H
42,Ano,Novela,Média,GLOBO ,NOVELAS DAS 18H
43,1990,Gente Fina,348,GLOBO ,NOVELAS DAS 18H
44,1990,Barriga de  Aluguel,367,GLOBO ,NOVELAS DAS 18H
45,1991,Salomé,314,GLOBO ,NOVELAS DAS 18H
46,1991,Felicidade,339,GLOBO ,NOVELAS DAS 18H
47,1992,Despedida  de Solteiro,385,GLOBO ,NOVELAS DAS 18H
48,1993,Mulheres de  Areia,492,GLOBO ,NOVELAS DAS 18H
49,1993,Sonho Meu,441,GLOBO ,NOVELAS DAS 18H
50,1994,Tropicaliente,391,GLOBO ,NOVELAS DAS 18H
51,1995,Irmãos  Coragem,325,GLOBO ,NOVELAS DAS 18H
52,1995,História de  Amor,342,GLOBO ,NOVELAS DAS 18H
53,1996,Quem é  Você?,314,GLOBO ,NOVELAS DAS 18H
54,1996,Anjo de Mim,287,GLOBO ,NOVELAS DAS 18H
55,1997,O Amor Está  no Ar,271,GLOBO ,NOVELAS DAS 18H
56,1997,Anjo Mau,318,GLOBO ,NOVELAS DAS 18H
57,1998,Era Uma  Vez...,296,GLOBO ,NOVELAS DAS 18H
58,1998,Pecado  Capital,268,GLOBO ,NOVELAS DAS 18H
59,1999,Força de um  Desejo,246,GLOBO ,NOVELAS DAS 18H
60,,,,GLOBO ,NOVELAS DAS 18H
61,Ano,Novela,Média,GLOBO ,NOVELAS DAS 18H
62,2000,Esplendor,275,GLOBO ,NOVELAS DAS 18H
